property_id,neighborhood,neighborhood_ar,property_type,annual_rent_sar,area_sqm,bedrooms,bathrooms,furnishing,status,title_text,created_at
C0055,An Narjis,النرجس,Compounds,110000,139.0,3,4,Unfurnished,Available,Satel at Opal on Thoumamah Road - 3 Bedrooms Apartment,2026-04-06 14:15:09.408000+00:00
C0087,Al Olaya,العليا,Apartments,160000,112.0,2,3,Fully furnished,Available,Olaris More Than Just a Place to Live,2026-07-27 11:56:07.417000+00:00
A0177,An Narjis,النرجس,Compounds,140000,132.0,3,3,Fully furnished,Available,Satel at Opal — New Furnished & Unfurnished Apartments,2025-09-18 08:36:48.027000+00:00
C0052,Al Malaz,حي الملز,Compounds,73000,95.0,2,2,Fully furnished,Rented out,La Brise Community – Furnished 2 Beds with Balcony for Rent,2026-03-17 20:01:56.262000+00:00
C0084,An Nakheel,حي النخيل,Villas,370000,460.0,6,6,Partially furnished,Rented out,"Creative Community Where Comfort, Privacy, and Luxury Come Together",2026-07-25 12:14:26.397000+00:00
V0044,An Nakheel,النخيل,Villas,200000,245.0,3,3,Fully furnished,Available,Creative Community | Luxury | Leisure | Location ,2026-04-06 11:15:05.151000+00:00
C0079,Al Olaya,العليا,Apartments,110000,120.0,2,2,Fully furnished,Available,Well-Appointed  2Bedroom Furnished Apartment,2026-07-23 07:30:58.395000+00:00
C0067,As Sulimaniyah,حي السليمانية,Apartments,103000,148.0,3,2,Unfurnished,Available,Duplex Near Kingdom Tower,2026-06-13 07:15:47.747000+00:00
V0041,Ar Rafiah,الرفيعة,Villas,220000,300.0,3,5,Fully furnished,Rented out,SATEL Rafilla Community | The Art of Executive Living in Riyadh,2026-01-25 11:22:48.414000+00:00
A0122,As Sulimaniyah,حي السليمانية,Duplex,130000,148.0,3,3,Fully furnished,Available,Satel Duplexes – Al Sulaymaniyah,2025-05-12 15:44:09.148000+00:00
C0082,Al Olaya,العليا,Apartments,80000,108.0,3,2,Partially furnished,Available,New Three Bedrooms Apartment in Al Olaya,2026-07-25 11:00:01.320000+00:00
C0086,Al Olaya,العليا,Apartments,70000,80.0,2,2,Partially furnished,Available,New Building in Al Olaya With Smart Living,2026-07-25 14:56:41.369000+00:00
C0078,An Nakheel,حي النخيل,Apartments,125000,133.0,3,4,Unfurnished,Rented out,Well-Lit 3BR Apartment in Al Nakheel,2026-07-21 07:31:29.219000+00:00
C0066,Al Olaya,العليا,Studio,120000,86.0,1,1,Fully furnished,Available,Olaris Residence | Serviced Residential Living in Al Olaya,2026-05-24 20:03:26.911000+00:00
C0080,Al Olaya,العليا,Apartments,85000,120.0,3,2,Partially furnished,Available,Bright and Spacious 3Bedroom Family Apartment,2026-07-25 07:32:49.738000+00:00
A0175,An Narjis,النرجس,Compounds,125000,147.0,3,3,Unfurnished,Available,Opal by Satel | Elevated Living in Al Narjis,2025-09-18 08:42:55.182000+00:00
C0088,Al Mohammadiyyah,,Apartments,140000,124.0,2,3,Fully furnished,Available,A Place to Live Work and Thrive ,2026-07-29 06:54:32.238000+00:00
C0085,Al Olaya,العليا,Apartments,70000,80.0,3,2,Partially furnished,Available,Brand New 3 Bedroom Home with Lifestyle Amenities,2026-07-25 16:18:47.917000+00:00
C0037,Al Olaya,حي العليا,Floor,90000,108.0,2,3,Unfurnished,Available,GF for Rent in Olaya,2025-10-23 14:28:48.134000+00:00
C0094,Al Olaya,العليا,Apartments,120000,120.0,2,3,Fully furnished,Available,Fully Furnished 2BR With Private Office in Al Olaya – Satel,2026-08-26 08:18:15.752000+00:00
C0096,Qurtubah,قرطبة,Villas,280000,460.0,4,6,Fully furnished,Available,New Villa in  Qurtubah,2026-08-28 08:35:51.701000+00:00
C0023,Al Malaz,الضباط,Floor,93000,312.0,3,4,Unfurnished,Available,New Floor in Malaz,2025-07-02 09:34:24.431000+00:00
C0077,Al Mathar Ash Shamali,حي المعذر الشمالي,Apartments,110000,111.0,3,4,Unfurnished,Available,Comfortable Unfurnished 3BR in Al Maathar with Private Rooftop Terrace,2026-07-18 11:37:08.461000+00:00
C0065,Al Olaya,العليا,Apartments,125000,100.0,2,2,Fully furnished,Available,Olaris Residence | Experience Serviced Living ,2026-05-24 15:57:28.137000+00:00
V0035,An Nakheel,النخيل,Villas,180000,245.0,3,3,Unfurnished,Available,Villa for Rent in Creative Community,2025-10-27 06:38:58.032000+00:00
C0098,Al Wurud,حي الورود,Apartments,120000,120.0,2,2,Fully furnished,Available,Furnished 2-Bedroom Apartment in Al Wurud | Move-In Ready,2026-09-01 13:57:10.811000+00:00
A0223,Al Aqiq,العقيق,Apartments,105000,90.0,2,2,Fully furnished,Available,2 Beds Furnished in a Family Community for Rent — Al Aqiq ,2026-04-26 15:31:11.583000+00:00
C0089,Alyasmin,النرجس,Villas,200000,232.0,4,5,Unfurnished,Rented out,The Perfect Choice for Your Family in Al Yasmin District,2026-08-02 14:08:58.564000+00:00
C0081,Al Olaya,العليا,Apartments,70000,108.0,3,2,Partially furnished,Available,Unfurnished 3BR Apartment with Gym ,2026-07-25 10:24:10.892000+00:00
