property_id,neighborhood_ar,neighborhood_key,property_type,annual_rent_sar,area_sqm,bedrooms,bathrooms,living_rooms,furnished,ac,lift,maid_room,driver_room,pool,created_at,log_annual_rent,price_outlier_iqr,area_flag
6516181,العليا,العليا,Floor,105000.0,102.0,2,,,0,0,0,0,0,0,2025-12-22 07:25:33+00:00,11.56171562913966,False,False
6479084,العليا,العليا,Apartments,55000.0,50.0,1,1,,1,1,0,0,0,0,2025-11-24 12:28:39+00:00,10.915088464214607,False,False
6462507,بدر,بدر,Apartments,16000.0,80.0,2,,,0,0,0,0,0,0,2025-11-10 22:26:32+00:00,9.680344001221918,False,False
6496667,النرجس,النرجس,Villas,135000.0,373.0,3,5,3,0,1,0,0,0,0,2025-12-07 15:38:29+00:00,11.813030057420567,False,False
6522462,الحمراء,الحمراء,Apartments,45000.0,600.0,3,2,1,0,1,0,0,0,0,2025-12-26 19:56:29+00:00,10.714417768752456,False,False
6490057,العارض,العارض,Apartments,40000.0,50.0,2,1,1,0,1,1,0,0,0,2025-12-02 14:00:40+00:00,10.596634733096073,False,False
6502160,العارض,العارض,Apartments,23000.0,40.0,1,1,1,1,1,0,0,0,0,2025-12-10 22:23:58+00:00,10.043249494911286,False,False
6374074,النرجس,النرجس,Villas,150000.0,360.0,4,5,3,0,1,1,1,1,0,2025-09-09 11:20:22+00:00,11.918390573078392,False,False
6410246,المصيف,المصيف,Apartments,124999.0,157.0,3,4,1,1,1,1,0,0,0,2025-10-04 16:28:31+00:00,11.736061016252439,True,False
6519867,العارض,العارض,Villas,120000.0,420.0,6,5,3,0,1,0,1,0,0,2025-12-24 15:52:47+00:00,11.695247021764184,False,False
6486817,النهضه,النهضه,Apartments,38000.0,375.0,3,2,1,0,0,0,0,0,0,2025-11-30 13:21:22+00:00,10.545341438708522,False,False
6422612,العقيق,العقيق,Apartments,42000.0,60.0,1,1,1,0,1,1,0,0,0,2025-10-13 17:30:55+00:00,10.645424897265505,False,False
6491563,ظهره نمار,ظهره نمار,Apartments,35000.0,756.0,3,2,1,0,0,1,0,0,0,2025-12-03 13:09:08+00:00,10.46310334047155,False,False
6481959,اشبيليه,اشبيليه,Apartments,38000.0,500.0,4,2,1,0,0,0,0,0,0,2025-11-26 11:30:27+00:00,10.545341438708522,False,False
6458323,العقيق,العقيق,Apartments,56000.0,100.0,2,1,1,0,1,1,0,0,0,2025-11-08 10:42:58+00:00,10.933106969717286,False,False
6472327,اشبيليه,اشبيليه,Apartments,38000.0,550.0,4,2,1,0,0,0,0,0,0,2025-11-18 15:41:57+00:00,10.545341438708522,False,False
6502054,قرطبه,قرطبه,Apartments,33000.0,591.0,1,2,1,1,1,1,0,0,0,2025-12-10 20:42:38+00:00,10.404262840448617,False,False
6491800,المونسيه,المونسيه,Apartments,80000.0,119.0,3,,,0,0,0,0,0,0,2025-12-03 15:18:09+00:00,11.289781913656018,False,False
6491519,العقيق,العقيق,Apartments,66000.0,150.0,3,2,1,0,1,1,0,0,0,2025-12-03 12:43:15+00:00,11.097410021008562,False,False
6451032,الملقا,الملقا,Floor,85000.0,805.0,6,3,1,0,0,0,0,0,0,2025-11-02 19:32:46+00:00,11.350406535472453,False,False
6510773,النرجس,النرجس,Apartments,90000.0,111.0,3,3,0,0,1,1,0,0,0,2025-12-17 16:05:45+00:00,11.407564949312402,False,False
6399032,النسيم الغربي,النسيم الغربي,Villas,100000.0,525.0,,5,5,0,0,0,0,0,0,2025-09-26 14:37:27+00:00,11.512925464970229,False,False
6473949,القادسيه,القادسيه,Apartments,55000.0,128.0,4,3,2,0,1,1,0,0,0,2025-11-19 18:14:08+00:00,10.915088464214607,False,False
6500953,القيروان,القيروان,Apartments,75000.0,210.0,2,3,1,0,0,0,0,0,0,2025-12-10 08:52:46+00:00,11.225243392518447,False,False
6330928,العليا,العليا,Apartments,63500.0,72.0,1,1,1,0,1,0,0,0,0,2025-08-14 06:58:37+00:00,11.058795184880783,False,False
6393478,العقيق,العقيق,Floor,100000.0,400.0,3,3,2,0,1,0,0,0,0,2025-09-22 10:47:48+00:00,11.512925464970229,False,False
6410464,الياسمين,الياسمين,Apartments,80000.0,183.0,3,,,0,0,0,0,0,0,2025-10-04 19:05:20+00:00,11.289781913656018,False,False
6448136,الملقا,الملقا,Apartments,125000.0,135.0,3,3,1,1,1,1,0,0,0,2025-10-31 17:25:17+00:00,11.736069016284437,True,False
6370781,الملقا,الملقا,Apartments,65000.0,120.0,4,4,1,0,1,1,0,0,0,2025-09-07 06:55:04+00:00,11.082142548877775,False,False
6482105,العليا,العليا,Apartments,33000.0,70.0,1,1,0,1,1,0,0,0,0,2025-11-26 13:32:29+00:00,10.404262840448617,False,False
6443980,القيروان,القيروان,Apartments,115000.0,127.0,3,3,1,0,1,1,0,0,0,2025-10-28 13:12:16+00:00,11.652687407345388,False,False
6467497,العقيق,العقيق,Apartments,95000.0,158.0,3,3,2,0,1,1,0,0,0,2025-11-15 09:08:25+00:00,11.461632170582678,False,False
6456871,النخيل,النخيل,Apartments,85000.0,100.0,3,2,1,0,1,0,0,0,0,2025-11-06 17:40:53+00:00,11.350406535472453,False,False
6522691,العارض,العارض,Apartments,39000.0,448.0,2,1,1,0,1,1,0,0,0,2025-12-27 07:05:20+00:00,10.571316925111784,False,False
6445085,حطين,حطين,Apartments,155000.0,131.0,4,3,2,1,1,1,0,0,0,2025-10-29 09:27:03+00:00,11.951180395901384,True,False
6506863,الملقا,الملقا,Apartments,50000.0,1074.0,3,2,1,0,0,1,0,0,0,2025-12-14 19:37:08+00:00,10.819778284410283,False,True
6482222,الورود,الورود,Apartments,35000.0,1.0,1,1,1,0,1,1,0,0,0,2025-11-26 14:36:44+00:00,10.46310334047155,False,False
6462401,الملقا,الملقا,Apartments,110000.0,130.0,4,3,1,1,1,1,0,0,0,2025-11-10 20:28:45+00:00,11.608235644774552,False,False
6499781,السعاده,السعاده,Apartments,40000.0,500.0,4,2,1,0,0,0,0,0,0,2025-12-09 13:13:09+00:00,10.596634733096073,False,False
6489168,الرايد,الرايد,Apartments,140000.0,220.0,3,5,2,0,1,1,0,0,0,2025-12-01 20:33:43+00:00,11.84939770159144,True,False
6443599,النرجس,النرجس,Apartments,80000.0,173.0,2,3,1,0,1,0,0,0,0,2025-10-28 08:34:29+00:00,11.289781913656018,False,False
6498770,الياسمين,الياسمين,Apartments,55000.0,50.0,2,1,1,1,1,0,0,0,0,2025-12-08 19:08:55+00:00,10.915088464214607,False,False
6504861,العارض,العارض,Apartments,60000.0,375.0,2,2,1,1,1,0,0,0,0,2025-12-13 14:06:29+00:00,11.002099841204238,False,False
6308035,العارض,العارض,Apartments,80000.0,133.0,4,3,1,0,1,1,0,0,0,2025-07-30 09:33:17+00:00,11.289781913656018,False,False
6494124,طويق,طويق,Apartments,28000.0,363.0,2,2,1,0,0,0,0,0,0,2025-12-05 14:16:16+00:00,10.239959789157341,False,False
6435118,النهضه,النهضه,Apartments,60000.0,158.0,3,3,1,0,0,0,0,0,0,2025-10-22 09:25:20+00:00,11.002099841204238,False,False
6373624,القيروان,القيروان,Apartments,90000.0,150.0,3,4,1,0,1,1,0,0,0,2025-09-08 22:07:56+00:00,11.407564949312402,False,False
6321947,اليرموك,اليرموك,Apartments,11000.0,136.0,3,2,1,1,1,1,0,0,0,2025-08-08 14:18:04+00:00,9.305650551780507,False,False
6269139,النرجس,النرجس,Apartments,75000.0,85.0,2,3,1,1,1,1,0,0,0,2025-07-01 20:06:34+00:00,11.225243392518447,False,False
6487366,الورود,الورود,Villas,275000.0,520.0,4,5,4,0,1,0,1,1,0,2025-11-30 18:32:51+00:00,12.524526376648708,True,False
